u,v
71201546,3898771399
71201546,4724605281
71201546,1970912974
3898771399,3643190987
3898771399,71201546
3898771399,9288197100
4724605281,4494705954
4724605281,3524177097
4724605281,71201546
1970912974,71201546
1970912974,71205330
1970912974,9288197113
71205330,1970912974
71205330,3261403441
71205330,2503982290
71205330,9288197104
3261403441,71205330
3261403441,8287525415
3261403441,3608509118
2503982290,71205330
2503982290,3974274523
2503982290,4471947499
9288197104,8873267205
9288197104,71205330
9288197104,9288197107
72945739,277921078
72945739,10541893403
72945739,4121312008
277921078,2508716610
277921078,72945739
277921078,11835681578
10541893403,825160017
10541893403,72945739
10541893403,10541893402
4121312008,828179365
4121312008,10541944217
4121312008,72945739
251555278,2813364664
251555278,11841036226
251555278,5012466367
251555278,13532746054
2813364664,251555278
2813364664,11841036227
2813364664,11841036225
11841036226,5012466364
11841036226,251555278
5012466367,13534104249
5012466367,13611204032
5012466367,251555278
13532746054,13532746051
13532746054,13532746055
13532746054,251555278
251555281,4764722770
251555281,11901200542
251555281,10604361312
251555281,10604361311
4764722770,828179428
4764722770,251555281
4764722770,2508808956
11901200542,251555281
11901200542,5057830416
11901200542,1024814320
10604361312,3383437149
10604361312,10604361311
10604361312,251555281
10604361311,2210411372
10604361311,10604361312
10604361311,251555281
251555709,6489444303
251555709,3320199179
251555709,5031707173
6489444303,5012466364
6489444303,251555709
6489444303,6489444298
3320199179,251555709
3320199179,1025392820
3320199179,9924841908
3320199179,12037851844
5031707173,5031707172
5031707173,9924841908
5031707173,1024814614
5031707173,251555709
251555713,8414332968
251555713,8412885861
251555713,2813364670
251555713,8414332964
8414332968,4701946747
8414332968,251555713
8414332968,8414332964
8412885861,12037851956
8412885861,1025389936
8412885861,251555713
2813364670,251555713
2813364670,5012444175
2813364670,10604359894
8414332964,8414332968
8414332964,251555713
8414332964,5012432646
251556335,9599257935
251556335,4397118116
9599257935,251556335
9599257935,2811745352
9599257935,1510041876
4397118116,9599257936
4397118116,2966749545
4397118116,9599257926
251557144,618628884
618628884,3334220689
251557148,6207354237
251557148,251557149
6207354237,1032159416
6207354237,6207354238
6207354237,4438231200
251557149,251557150
251557149,2656872469
251557150,251557151
2656872469,6207354238
2656872469,251557150
251557151,2966748926
2966748926,2656872483
2966748926,2966748924
251557155,3063780266
3063780266,251557156
251557156,251557144
251557156,2656872500
2656872500,251557144
2656872500,3334224800
251715130,1025829145
251715130,12464978948
251715130,7142008603
1025829145,620162538
1025829145,251715130
1025829145,1025829108
12464978948,251715130
12464978948,8548181453
12464978948,12106459722
7142008603,7142008607
7142008603,10175412177
7142008603,251715130
251839524,10922061201
251839524,4648938564
251839524,6413621475
251839524,10313748782
251839524,13089868534
10922061201,10922061200
10922061201,251839524
10922061201,10922061199
4648938564,4648938563
4648938564,251839524
4648938564,3942844557
6413621475,10110052217
6413621475,251839524
6413621475,11003216116
10313748782,2506590481
10313748782,251839524
10313748782,11752404966
13089868534,10556408045
13089868534,251839524
13089868534,13089868544
252288158,2614905879
252288158,2991097115
252288158,2991097091
252288158,2801772625
2614905879,252288158
2614905879,8242928656
2614905879,8242928655
2614905879,13556348050
2991097115,252288158
2991097115,2614905883
2991097115,10570938785
2991097091,8242928655
2991097091,2614905881
2991097091,252288158
2801772625,252288158
2801772625,6485672708
2801772625,3791493169
2801772625,10537901327
252291615,10573005272
252291615,10573005268
10573005272,10573005264
10573005272,252291615
10573005272,10573005268
10573005268,2836516391
10573005268,252291615
10573005268,10573005272
252408244,1520815754
1520815754,1520815706
1520815754,1025495901
252408245,533996500
533996500,533996502
252408454,5407036699
5407036699,2566839116
252409617,2421216803
252409617,2421216826
252409617,1539069557
2421216803,252409617
2421216803,1539071459
2421216803,2644849322
2421216826,2421216827
2421216826,2504299755
2421216826,2421216840
1539069557,2421216801
1539069557,2644849322
1539069557,252409617
252409784,2421216853
252409784,1105134912
252409784,825159594
252409784,1105135755
2421216853,252409784
2421216853,3902166225
2421216853,1105135024
1105134912,252409784
1105134912,1105134422
825159594,1105134422
825159594,4571908077
825159594,252409787
825159594,252409784
1105135755,252409784
1105135755,1105135024
252409787,1105133828
252409787,2421216778
252409787,825159594
252409787,2421216701
1105133828,252409787
1105133828,831659951
1105133828,4571908014
2421216778,252409787
2421216778,2421216780
2421216778,825159430
2421216701,4571908014
2421216701,1016736324
2421216701,252409787
252409791,2421216477
252409791,2421216488
252409791,2421216444
252409791,1016736324
2421216477,252409791
2421216477,1018857192
2421216477,2421216515
2421216488,252409791
2421216488,1601688610
2421216444,1601688610
2421216444,825160953
2421216444,252409791
1016736324,2421216522
1016736324,2421216519
1016736324,2421216701
1016736324,252409791
252414760,831631723
252414760,277907799
252414760,3641306720
831631723,252414760
831631723,831631644
831631723,11614928435
277907799,1025495892
277907799,252414760
277907799,829209426
3641306720,1025495715
3641306720,1515477269
3641306720,252414760
252529160,1568204111
252529160,1015158242
252529160,12061935784
1568204111,1568204075
1568204111,252529160
1568204111,1568204159
1568204111,1568204089
1015158242,12104980603
1015158242,1015158342
1015158242,252529160
12061935784,252529160
12061935784,12106408690
12061935784,12061935787
253090582,11835681669
253090582,253090583
253090582,4706296489
11835681669,417906251
11835681669,11835681670
11835681669,253090582
253090583,277921167
253090583,4706296483
253090583,253090582
4706296489,4706296490
4706296489,11793918094
4706296489,253090582
277921167,253090583
277921167,4706296488
277921167,10541893402
4706296483,253825914
4706296483,253090583
4706296483,4706296484
253362733,11793918116
253362733,6715220603
253362733,6715220604
11793918116,11793918110
11793918116,11793918110
11793918116,253362733
6715220603,253362733
6715220603,6715220605
6715220603,9393336528
6715220604,6715220605
6715220604,253362733
6715220604,253825914
253819135,622204771
253819135,1188085123
253819135,6952381288
622204771,622204769
622204771,253819135
622204771,253819307
1188085123,1188085234
1188085123,253819135
1188085123,253820648
6952381288,503904641
6952381288,6952381287
253819307,1197009583
253819307,702499426
253819307,622204771
1197009583,1197010339
1197009583,253819307
1197009583,1197002572
702499426,13390644540
702499426,702499523
702499426,13377760343
702499426,253819307
253819316,1032159266
253819316,622204737
253819316,1024987110
1032159266,253819316
1032159266,3088017990
1032159266,1032159573
622204737,1032159983
622204737,1032159573
622204737,253819316
622204737,2508189937
1024987110,1032159990
1024987110,253819316
1024987110,702499497
253819317,1032159535
253819317,2508189933
253819317,2508189937
253819317,622204719
1032159535,2508189935
1032159535,253819317
1032159535,896336405
2508189933,253819317
2508189933,1024988200
2508189937,2508189935
2508189937,253819317
2508189937,622204737
622204719,1027194652
622204719,2508189913
622204719,697791314
622204719,253819317
253819556,896336405
253819556,2508189909
253819556,896336472
896336405,1032159535
896336405,253819556
896336405,896336338
2508189909,253819556
2508189909,896336338
2508189909,896336338
896336472,896336458
896336472,896336589
896336472,253819556
896336472,896336564
253819570,896336714
253819570,10078060242
253819570,10078060511
253819570,5477634020
253819570,1025289025
896336714,896336709
896336714,253819570
896336714,704440073
10078060242,10078060578
10078060511,253819570
10078060511,908207013
10078060511,10078060242
5477634020,9402681818
5477634020,253819570
5477634020,896336663
1025289025,1025288581
1025289025,10078060578
1025289025,1034252489
253819571,1034252059
253819571,10132397973
253819571,1025288452
1034252059,1034252489
1034252059,1025288581
10132397973,10078060296
10132397973,253819571
10132397973,5119700749
1025288452,253819571
1025288452,10132397974
253820648,621144001
253820648,1188085123
