element,id,amenity,education,shop,healthcare
node,581140384,,,supermarket,
node,679374898,school,school,,
node,1568205013,,,supermarket,
node,2619170716,pharmacy,,,pharmacy
node,2690000102,school,school,,
node,4127054936,school,school,,
node,4127054939,,,convenience,
node,4176350333,,,convenience,
node,4516067083,,,convenience,
node,4706296502,school,school,,
node,5406682957,,,supermarket,
node,6603772232,,,supermarket,
node,6695817444,school,school,,
node,7746524885,,,supermarket,
node,7746538285,,,supermarket,
node,7746604785,,,convenience,
node,8335372461,pharmacy,,,pharmacy
node,8403208980,,,supermarket,
node,8665305321,pharmacy,,,pharmacy
node,8665305325,,,convenience,
node,8665524673,clinic,,,clinic
node,9225830014,pharmacy,,,pharmacy
node,9235803308,,,supermarket,
node,9415781668,,,convenience,
node,9598246527,,,supermarket,
node,9598246528,,,convenience,
node,10247187189,,,convenience,
node,10266256590,pharmacy,,,pharmacy
node,10266294968,clinic,,,clinic
node,10296531923,,,supermarket,
node,10311656528,pharmacy,,,pharmacy
node,10747336995,,,convenience,
node,10844727859,,,convenience,
node,11789424223,school,,,
node,11819788455,clinic,,,clinic
node,11819788456,clinic,,,clinic
node,12739969711,,,convenience,
node,13522840101,school,,,
relation,12824400,school,school,,
way,88220271,,,supermarket,
way,90234658,school,school,,
way,95276114,school,school,,
way,102342364,,,supermarket,
way,243472687,,,supermarket,
way,243483245,,,supermarket,
way,250247879,school,school,,
way,314126640,,,supermarket,
way,386859325,school,school,,
way,392830642,,,supermarket,
way,477074155,school,school,,
way,675390037,school,school,,
way,790952069,school,school,,
way,842565679,,,supermarket,
way,895214885,school,school,,
way,927474582,school,school,,
way,977493695,school,school,,
way,1117138979,school,school,,
way,1117138986,school,school,,
way,1207509457,,,supermarket,
way,1239469601,,,supermarket,
way,1265623963,school,,,
way,1323782333,school,school,,
way,1451158448,school,school,,
